"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
southeast,50,SE Ankeny & 6th,"1,075","1,100","1,110","1,300","1,125",980,920,990,"1,265","1,455",-,970,855,-,680,-,-,,725,750
southeast,51,SE Belmont & 16th,735,795,860,860,780,670,830,810,720,610,725,455,425,-,-,375,-,240,-,-
southeast,52,SE Milwaukie & Bybee,365,320,370,325,460,470,505,315,455,375,535,405,-,-,-,-,-,-,-,-
southeast,53,SE Center & 72nd,,350,380,-,345,270,215,485,220,350,310,330,-,-,-,-,-,-,-,-
southeast,54,SE Center & 9th,100,70,100,100,175,180,165,-,115,-,95,50,-,-,-,-,-,-,-,-
southeast,55,SE Clinton & 26th,"3,025","3,785","3,385","3,255","3,205","3,095","3,180","2,655","2,750","2,345","2,710","1,770","1,515",-,"1,250",-,-,595,650,-
east,57,SE Flavel & 92nd,300,505,645,-,660,830,735,730,630,385,410,265,555,-,-,-,-,-,-,365
east,58,SE Flavel & Deardorf,,,5,-,-,30,-,-,-,40,-,-,-,-,-,-,-,-,-,-
southeast,59,SE Gladstone & 42nd,745,745,735,785,995,710,690,-,895,905,715,490,430,-,-,-,-,-,-,290
east,60,SE Springwater & I-205 Path,730,940,940,990,"1,380",990,"1,375","1,205",965,-,375,-,-,-,-,-,-,-,-,-
southeast,61,SE Harrison & Ladd (Circle)**,"3,075","3,175","3,360","3,590","3,810","4,255","3,455","3,600","3,935","3,955","3,975","1,755","1,850","1,855",-,-,-,900,-,"1,260"
southeast,62,SE Lincoln & 41st,"1,800","1,855","2,135","2,145","1,875","1,710","2,030","1,880","1,795","1,965","1,925","1,025","1,015",-,-,725,-,575,-,-
east,63,SE Mill & 135th,140,130,125,115,130,145,230,270,-,195,130,-,-,-,-,-,-,-,-,-
southeast,64,SE Milwaukie & Powell,310,425,390,335,615,515,-,-,600,780,740,500,,-,-,-,-,-,-,-
southeast,65,SE Spokane & Springwater,"2,035","2,700","2,610","2,560","2,485","2,685","2,915","2,000","2,080","1,050","2,860","1,885","1,410",-,-,-,-,-,-,-
southeast,66,SE Taylor & 41st,825,875,"1,145","1,065",910,"1,365","1,205","1,205","1,185","1,245",950,955,700,-,-,-,-,325,-,-
southeast,67,SE Woodstock & 46th,448,630,580,440,565,730,450,-,600,580,660,635,-,-,-,-,-,-,-,-
southeast,68,SE Woodward & 71st,550,545,470,735,345,390,450,590,755,550,490,-,-,-,-,-,-,-,-,-
southeast,69,SE Springwater & Johson Creek,665,945,"1,075","1,300","1,260","1,125","1,010","1,175",730,775,775,"1,020",-,-,-,-,-,-,-,-
southeast,70,Springwater & Oaks Bottom Path,"2,320","2,885","3,025","2,800","2,880","2,860","2,885","2,950","2,745","2,770","2,643","2,500",-,-,-,-,-,-,-,-
city center,71,SW Taylor & 13th,265,240,315,310,300,285,275,-,175,305,360,370,180,-,220,-,-,-,250,195
city center,72,SW Salmon & 14th (pm),460,465,560,540,500,615,635,530,665,520,540,430,370,-,-,-,-,-,210,245
city center,73,SW 6th & Jackson,,325,400,520,340,425,485,385,360,360,435,260,595,-,-,-,-,-,-,240
southwest,74,SW Terwilliger & Sheridan,,470,705,565,805,810,690,710,720,755,645,585,"1,050",-,-,-,-,-,-,620
southwest,75,SW Arnold & 35th,10,25,-,35,-,20,35,50,20,15,40,-,-,-,-,-,-,-,-,-
southwest,77,SW Barbur & Hamilton,490,525,710,535,820,765,630,"1,030",750,705,990,525,460,-,-,-,-,310,-,165
southwest,78,SW BH Hwy & Shattuck,100,140,200,-,225,165,195,235,305,230,270,165,-,-,-,-,-,-,-,-
city center,79,SW Broadway & Jackson,645,465,495,595,545,710,415,960,680,-,-,565,515,-,-,-,-,-,345,255
southwest,80,SW Canyon Ct & Skyline,530,555,510,630,680,730,690,660,540,455,580,385,260,-,-,-,-,-,-,-
