"Portland, Oregon Daily Bike Estimates, 2000-2018 (based on 2-hour peak counts)",,,,,,,,,,,,,,,,,,,,,,
Sector,Site #,Location,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,prior to 2000
northwest,238,NW Marshall & 14th,"1,145","1,165","1,075","1,150",690,"1,020",865,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,239,NW Marshall & 18th,705,795,665,635,585,660,655,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,240,NW Marshall & 19th,658,635,625,660,490,590,540,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,241,Springwater Corridor (S of Ivon),"3,240","2,865","2,880","3,095","3,000","2,980","2,820",-,-,-,"2,543",-,-,-,"1,157",-,-,-,-,-
southeast,242,E Burnside & SE 6th,"1,855","2,095","2,150","2,210","2,165","1,885","1,940",-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,243,E Burnside & SE 12th,,750,"1,455","1,645","1,580","1,675","1,635",-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,244,SE Clinton & 34th,"2,820","3,050","2,620","2,510","2,370","2,315","2,545",-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,245,SE Ladd & 20th/21st,"1,815","1,860","2,260","2,330","2,710","3,025","2,855",-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,246,SE Salmon & 28th,"1,095","1,050","1,145","1,070","1,170","1,145","1,160",-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,247,SE Taylor & 53rd,355,400,440,435,255,245,215,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,248,SE Flavel & 52nd,205,200,180,240,200,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,249,SE Flavel & 87th,140,160,190,160,290,-,180,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,250,SE Woodstock & 87th,98,145,160,110,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,251,SE Brooklyn & 85th,45,65,130,65,135,160,75,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,252,SE Lincoln & 52nd,"1,235","1,290","1,420","1,535","1,125","1,105","1,205",-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,253,SE Caruthers & Eastbank Esplanade,"3,260","3,275","3,160","2,760","2,110",-,"2,940",-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,254,NE Killingsworth & Cully,90,130,145,-,220,160,265,195,140,-,-,-,-,-,-,-,-,-,-,-
city center,255,SW Naito & Ankeny,"3,290","3,195","2,235","2,275","1,875","1,835","1,685",-,-,-,840,-,-,-,-,-,-,-,-,-
southeast,256,SE Caruthers & Water,,"5,540","6,175","4,330","3,595","3,470",-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,257,SE Division & 60th,390,365,570,420,400,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-
north,258,N Going & Concord,600,540,325,210,360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,259,NE Multnomah & 21st,"2,145","1,710","1,640","1,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,260,NE Halsey & 128th,5,30,50,55,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,261,NE Alderwood & 82nd,145,50,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,262,NE Multnomah & 11th,"1,185","1,270",815,"1,045",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,263,NE Rodney & Morris,880,830,855,630,730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northwest,264,NW Everett & 19th,685,825,875,620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,265,SE Holgate & 17th,645,795,755,530,335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,266,SE Division & 76th,365,470,450,155,470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,267,SE Stark & 76th,168,130,205,370,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,268,SE Bybee & 19th,905,400,510,495,405,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,269,SE Woodstock & 28th,275,355,520,415,495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,270,SE Foster & 67th,325,300,440,310,425,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,271,SW Columbia & 14th,215,215,225,470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,272,SW Salmon & 14th (am),495,440,460,640,585,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,273,SW Jefferson & 12th,310,475,630,530,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,274,SW Lincoln & 1st,540,665,635,"2,145",525,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,275,NE Tillamook & 7th,"1,825","2,115","2,050","1,130","2,475",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,276,SE Powell over-crossing @ 17th Ave,"1,185","1,220","1,275",690,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,277,NE Alameda & 57th,523,580,465,430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,278,SW River Pkwy/Harrison & Harbor Path,,"2,225","2,230","2,345",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,279,NW Couch & 3rd,"1,500","1,560","1,530","1,485",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,280,NE Halsey & 42nd,455,390,380,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,281,W Burnside & 3rd,965,"1,135","1,080",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,282,SW Stark & 2nd,"2,200","2,465","2,215",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
city center,283,NW Couch & 2nd,,"1,225","1,360",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,285,SE Holgate & 128th,100,80,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,286,NE Halsey & 106th,153,145,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
north,287,N Lombard & Bruce,,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,288,SE Salmon & 29th,"1,000","1,355","1,170",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,289,SE Ankeny & 30th,"2,065","1,598","1,515",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,290,NE Glisan & 30th,653,775,445,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,291,NE Tillamook & 26th,"1,570","1,365","1,185",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,292,NE Klickitat & 26th Ave,635,475,280,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,293,NE Skidmore & 32nd Ave,295,305,235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southeast,294,SE Franklin & 26th Ave,,480,725,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
northeast,295,NE Rodney & Bryant,,35,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
southwest,296,SW Miles & 60th,30,30,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,297,NE Tillamook & 108th,50,105,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,298,NE Glisan & 108th,35,120,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east,299,NE Holladay & 122nd,135,115,,,,,,,,,,,,,,,,,,
city center,300,SW Naito & Salmon,"3,725","4,145",,,,,,,,,,,,,,,,,,
southeast,301,SE Lafayette & 21st,,915,,,,,,,,,,,,,,,,,,
southeast,302,SE Odgen & 67th,55,35,,,,,,,,,,,,,,,,,,
northwest,303,NW Johnson & 20th,415,585,,,,,,,,,,,,,,,,,,
city center,304,SW Alder & 18th,330,315,,,,,,,,,,,,,,,,,,
southwest,305,SW Capitol Hwy & Dolph Ct/41st,40,30,,,,,,,,,,,,,,,,,,
east,306,NE Fremont & 102nd,85,100,,,,,,,,,,,,,,,,,,
east,307,NE Weidler & 106th,70,,,,,,,,,,,,,,,,,,,
east,308,NE San Rafael & 132nd,20,45,,,,,,,,,,,,,,,,,,
east,309,NE Holladay & 114th,,10,,,,,,,,,,,,,,,,,,
southeast,310,SE MLK & Morrison,195,,,,,,,,,,,,,,,,,,,
northwest,311,NW Marshall & 16th,735,755,,,,,,,,,,,,,,,,,,
southwest,312,SW Scholls Ferry Rd & Raab Rd/Humphrey Blvd,55,50,,,,,,,,,,,,,,,,,,
northwest,313,NW Overton & 11th,"1,370","1,555",,,,,,,,,,,,,,,,,,
north,314,N Williams & Dekum,580,,,,,,,,,,,,,,,,,,,
east,315,NE Tillamook & 102nd,68,,,,,,,,,,,,,,,,,,,
north,316,N Tillamook & Flint,"3,170",,,,,,,,,,,,,,,,,,,
city center,317,SW Naito @ Morrison Bridge,"3,428",,,,,,,,,,,,,,,,,,,
city center,318,SW Naito & Ankeny,"2,095",,,,,,,,,,,,,,,,,,,
city center,319,SW Naito & Salmon,"3,315",,,,,,,,,,,,,,,,,,,
southeast,320,SE Water & Morrison Bridge path,865,,,,,,,,,,,,,,,,,,,
southeast,321,SE Foster & 77th/78th,70,,,,,,,,,,,,,,,,,,,
southeast,322,SE Linn & 19th,995,,,,,,,,,,,,,,,,,,,
southeast,323,SE Bybee & 32nd,215,,,,,,,,,,,,,,,,,,,
north,324,N Fessenden & Burr,115,,,,,,,,,,,,,,,,,,,
north,325,N Kilpatrick & Chautauqua,185,,,,,,,,,,,,,,,,,,,
north,326,N Whitaker & Denver (Delta Park),395,,,,,,,,,,,,,,,,,,,
north,327,N Vancouver & Columbia Slough Trail,385,,,,,,,,,,,,,,,,,,,
southeast,328,SE Belmont & 7th,"1,340",,,,,,,,,,,,,,,,,,,
north,329,N Williams & Rosa Parks Way,"1,285",,,,,,,,,,,,,,,,,,,
east,330,NE Glisan & 128th,55,,,,,,,,,,,,,,,,,,,
east,331,NE Glisan & 156th,,,,,,,,,,,,,,,,,,,,
